,Context before,token,Context after,Sense
1320,which it had travelled in the mean time ; although of course I do not ascribe to this observation the,weight,"of a direct measure , yet it proves an interesting confirmation . Reckoning from the position it occupied on the",MET
1321,"of the 51st of Henry III . , called ' Assisa panis et cerevisiae , ' to show that the",weights,"in use at that time , though commonly taken to have been troy weights , were not really so ,",N
1322,"arm out of its natural position by I-38o or 10683 D divisions ; and therefore , if on moving the",weights,"from the midway to a near position the arm is found to move B divisions , or if it moves",N
1323,"of iron , making thirteen kinds with two I have had from Low Moor . The comparison of the breaking",weights,"of these pillars shows that the strengths of the irons vary at least as 2 to 3 , and their",W
1324,", so as to be totally immersed in the water , the air is forced into the bladder . The",weights,"used in the following experiments , are troy weights , 1 ounce containing 480 grains . By an ounce or",W/M
1325,R and S with Y+ Z ; each of the weights Y and Z with W+V + each of the,weights,Q in turn ; W with V+ sum of ten weights Q ; V with the sum of the ten,N
1326,glass heater was applied to one set of junctions or the other . The deflection was also reversed when the,weights,"were changed to the alternate set of wires , and the heater kept applied to the same set of junctions",N
1327,pegs towards the ends are kept stretched by light weights tied to them ; and the slack parts below these,weights,"are carried away to the Fig. 20 . galvanometer electrodes , with which they are connected in the manner described",N
1328,compound . The respective positions of these nitrites would not be materially altered if the order were taken for equal,weights,"instead of equal volumes . The more volatile compounds in many instances act most rapidly , e.g. , methyl and",M
1329,Ieast mass measured by us lllld a set of ] 's weights*were used in our determination of ) * These,weights,"vere 1standar by Messrs. Oertling in August , 1892 . 1893 . ] the Me jhanical Eivalent of Heat ,",N
1330,"more remarkable , that it is that of equal weights of the salts diffused , and not of atomically equivalent",weights,". In the salts of ammonia and potash , this equality of diffusion is exhibited also , notwithstanding considerable differences",M
1331,"Weights different in different Books , I sent to a curious Gentleman for some Paris Weights exact to the Standard",weights,"at the Chatelet ; and found upon trial , the Paris Ounce , which contains 576 of their Grains ,",N
1332,"the weights , fell to the ground , so as not to be in the way . On moving the",weights,"to the negative position , they were found to be about 8 ? colder than the air , and their",N
1333,"first reading is apt to exhibit small irregularities , especially when it follows very soon after the interchange of the",weights,. Hence the employment of it in finding the position of equilibrium would not be likely to increase the accuracy,N
1334,"as that of V , T=5759'47141 grains , of which U contained 5760 . By numerous comparisons of the auxiliary",weights,"with each other and with T , A= 1239 88621 , B= 1239 88604 , C= 1239 88596 , D=",M
1335,"in neg . position 7 15 ti pos . position 75 In the fourth experiment , the effect of the",weights,"seemed to increase on standing , in all three motions of the weights , conformably to what was observed with",N
1336,"... ... . . ( 8 . ) , I~~~~~~~~~~~~~ A-AAa a , eaA 716 That is , THE BREAKING",weights,IN SIMILAR BEAMS ARE TO EACH OTHER AS THE SQUARES OF THEIR LIKE LINEAR DIMENSIONS . The method of demonstration,W
1337,"to lose , the least weight , upon being frozen , or upon being thawed ; neither were the relative",weights,"of the fluids in either of the other bottles in the least changed , by the various degrees of heat",M
1338,"S each of 40 grains , nearly . The platinum of which the five lbs. , T and the auxiliary",weights,"were made , was prepared by Messrs. Johnson and Cock . The numbers of the weights of each denomination ,",N
1339,"and half grains , several of each having been carefully prepared by Mr. Fox himself , and the same individual",weights,"being , as far as possible , used throughout . The deflections caused by the different weights when the needles",W
1340,"from "" "" HOOKE'S law more or less decided , always ensues after recent permanent extension , even when the",weights,employed to produce the temporary elongation do not exceed one-tenth of the breaking-load of the wire . 6 . This,W
1341,", during the time of its passage through the bore , happens to be the same when bullets of different",weights,"are made use of ( which collective pressure is in all cases proportional to , and is accurately measured by",M
1342,. Suspecting that thts ulight arise from the volutnes or solid contents of the substances being different ( though their,weights,"were the same- ) , arising from the difference of their specific gra vitTes ; and aS it was llot",M
1343,", therefore , unless very well protected by gilding , is quite unfit to be used in the construction of",weights,having that degree of accuracy which is required in secondary standards . Electro-gilding was tried in the first instance .,N
1344,"nearly as possible the same number of experiments in each ( 9 , 9 and 8 ) , giving average",weights,with nearly the same absolute differences . * Vicle References at end . Table XV . Group . Rabbits from,M
1345,", as before , contrary to the hypothesis . ( 3 ) If a and b be two symbols of",weights,"simple in regard to one another , and if aa1= bbl , then al bk , and 61=ak ; for",W/M
1346,"so amply confirmed by numerous examples in my "" First Principles of Chemistry , "" namely , that the atomic",weights,"of all bodies are multiples of o15 , the atom of hydrogen : for 0 125 x 32 --4 .",M
1347,"which afford 47-58 oz. , or 1348 grms. 12 . Lapps.-7 skulls of Lapps , of pure blood , exhibit",weights,"of brain very nearly equal to those of our Italians , and the same as the Italian men of Dr.",M
1348,grm. of the former and 15*912 grm. of the latter . Taking these quantities to represent the ratio between the,weights,"of three atoms of mercury and two atoms of gold , we have for the weight of the single atom",M
1349,"726 27 53j -24,7 Motion of arm = 6,32 Time of vibration _ =6/ 58 "" EXPERIMENT X. May 5",weights,"in positive position . 34Z5 8315 33397 3474 Weights moved to negative position . 22,3 28 1043 42 6 29",N
1350,"with each of the weights A , B , C , D in succession , the comparisons of the auxiliary",weights,with each other and with T presented some unaccountable discordances . By a most troublesome repetition of the weighings with,N
1351,the mercury in the barometer in inches reduced to the freezing-point . The symbol placed between the symbols of two,weights,will be used to denote that they appear to be equal when weighed in air . The two weights in,W/M
1352,"the account . The equivalent weights have been obtained , as in the Erebus , from the comparative observations with",weights,"and deflectors at Hobarton , Sydney , New Zealand , the Falkland * Philosophical Transactions , 1842 , Art .",W
1353,"standard Troy weights , of oneand of two pounds , kept at the House of Commons , the Commissioners of",weights,"and Measures thought it desirable that the Troy pound , which differed the least from this mean , should be",W/M
1354,"by Professor Schumacher with the brass weights of 5000 grains , 400 grains and 300 grains , and the platinum",weights,"of 60 grains . By the observations of February and March 1829 , K=W+ 0*0065 grain , and by those",N
1355,"force , its elasticity is not thereby rendered perfect for smaller degrees of stress . Thus he finds that when",weights,"are successively hung to a wire so as gradually to increase its tension , and then successively removed , the",W
1356,"( says Dr. Thomson ) to avoid concluding , with him , that the numbers above given represent the relative",weights,of a single atom of each of these elements ; that they first unite atom to atom ; but that,M
1357,"grains , according to the , weights of the same artist it remains only to determine the proportions of these",weights,"and measures , to those that have been usually , or may be fitly , considered as the standards of",W/M
1358,"position in which it finally rests . In the first place , the model is adjusted by means of moveable",weights,", until the water-line AC is parallel to the upper side , LN , of the model ; and then",N
1359,"of ordinary density , we have , with N03=61*889 , 203*738 . With NO0=62 , 204*103 . Accepting the uncorrected",weights,", observed in air , we have , with NQ3= 61*889 , With N06=62 , 203*162 . 204*165 . The",M
1360,"suggested itself to me was , that possibly the effect might be owing to a difference of temperature between the",weights,"and the case ; for it is evident , that if the weights were much warmer than the case ,",N
1361,"the correction thus indicated , I had a very convenient and tolerably accurate mode of applying pressure by simply placing",weights,"on the handle of the pump . A pressure of 6458 lbs. applied in this way , gave a deflection",W
